cases,deaths,country,geoid,countryterritorycode,population,date,date.int,log.cases,log.deaths,tot.cases,tot.deaths,cum.cases,cum.deaths,n.nonzero.rows,prop.zero.cases,prop.zero.deaths,delta.next.non0,max.gap,is.train,ctry.min.date.int,ctry.min.date,date.int.delta,ctry.first.log.cases,adj.log.cases
24,0,andorra,AD,AND,77006,2020-03-26,18347,3.17805383034795,-Inf,704,35,188,0,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
36,3,andorra,AD,AND,77006,2020-03-27,18348,3.58351893845611,1.09861228866811,704,35,224,3,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
43,0,andorra,AD,AND,77006,2020-03-28,18349,3.76120011569356,-Inf,704,35,267,3,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
41,1,andorra,AD,AND,77006,2020-03-29,18350,3.71357206670431,0,704,35,308,4,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
26,2,andorra,AD,AND,77006,2020-03-30,18351,3.25809653802148,0.693147180559945,704,35,334,6,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
36,2,andorra,AD,AND,77006,2020-03-31,18352,3.58351893845611,0.693147180559945,704,35,370,8,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
6,4,andorra,AD,AND,77006,2020-04-01,18353,1.79175946922806,1.38629436111989,704,35,376,12,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
14,2,andorra,AD,AND,77006,2020-04-02,18354,2.63905732961526,0.693147180559945,704,35,390,14,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
38,1,andorra,AD,AND,77006,2020-04-03,18355,3.63758615972639,0,704,35,428,15,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
11,1,andorra,AD,AND,77006,2020-04-04,18356,2.39789527279837,0,704,35,439,16,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
27,1,andorra,AD,AND,77006,2020-04-05,18357,3.29583686600433,0,704,35,466,17,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
35,1,andorra,AD,AND,77006,2020-04-06,18358,3.55534806148941,0,704,35,501,18,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
25,3,andorra,AD,AND,77006,2020-04-07,18359,3.2188758248682,1.09861228866811,704,35,526,21,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
19,1,andorra,AD,AND,77006,2020-04-08,18360,2.94443897916644,0,704,35,545,22,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
19,1,andorra,AD,AND,77006,2020-04-09,18361,2.94443897916644,0,704,35,564,23,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
19,2,andorra,AD,AND,77006,2020-04-10,18362,2.94443897916644,0.693147180559945,704,35,583,25,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
18,1,andorra,AD,AND,77006,2020-04-11,18363,2.89037175789616,0,704,35,601,26,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
21,2,andorra,AD,AND,77006,2020-04-12,18364,3.04452243772342,0.693147180559945,704,35,622,28,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
16,1,andorra,AD,AND,77006,2020-04-13,18365,2.77258872223978,0,704,35,638,29,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
8,0,andorra,AD,AND,77006,2020-04-14,18366,2.07944154167984,-Inf,704,35,646,29,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
13,2,andorra,AD,AND,77006,2020-04-15,18367,2.56494935746154,0.693147180559945,704,35,659,31,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
14,2,andorra,AD,AND,77006,2020-04-16,18368,2.63905732961526,0.693147180559945,704,35,673,33,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
9,0,andorra,AD,AND,77006,2020-04-17,18369,2.19722457733622,-Inf,704,35,682,33,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
14,2,andorra,AD,AND,77006,2020-04-18,18370,2.63905732961526,0.693147180559945,704,35,696,35,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
8,0,andorra,AD,AND,77006,2020-04-19,18371,2.07944154167984,-Inf,704,35,704,35,35,0.0540540540540541,0.45945945945946,1,1,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2019-12-31,18261,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-01,18262,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-02,18263,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-03,18264,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-04,18265,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-05,18266,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-06,18267,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-07,18268,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-08,18269,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-09,18270,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-10,18271,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-11,18272,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-12,18273,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-13,18274,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-14,18275,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-15,18276,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-16,18277,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-17,18278,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-18,18279,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-19,18280,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-20,18281,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-21,18282,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-22,18283,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-23,18284,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-24,18285,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-25,18286,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-26,18287,-Inf,-Inf,6302,37,0,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
1,0,united_arab_emirates,AE,ARE,9630959,2020-01-27,18288,0,-Inf,6302,37,1,0,43,0.590476190476191,0.847619047619048,3,6,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-28,18289,-Inf,-Inf,6302,37,1,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-29,18290,-Inf,-Inf,6302,37,1,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
3,0,united_arab_emirates,AE,ARE,9630959,2020-01-30,18291,1.09861228866811,-Inf,6302,37,4,0,43,0.590476190476191,0.847619047619048,3,6,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-31,18292,-Inf,-Inf,6302,37,4,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-01,18293,-Inf,-Inf,6302,37,4,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
1,0,united_arab_emirates,AE,ARE,9630959,2020-02-02,18294,0,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,6,6,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-03,18295,-Inf,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-04,18296,-Inf,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-05,18297,-Inf,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-06,18298,-Inf,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-07,18299,-Inf,-Inf,6302,37,5,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
2,0,united_arab_emirates,AE,ARE,9630959,2020-02-08,18300,0.693147180559945,-Inf,6302,37,7,0,43,0.590476190476191,0.847619047619048,3,6,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-09,18301,-Inf,-Inf,6302,37,7,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-10,18302,-Inf,-Inf,6302,37,7,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
1,0,united_arab_emirates,AE,ARE,9630959,2020-02-11,18303,0,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,6,6,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-12,18304,-Inf,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-13,18305,-Inf,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-14,18306,-Inf,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-15,18307,-Inf,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-16,18308,-Inf,-Inf,6302,37,8,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
1,0,united_arab_emirates,AE,ARE,9630959,2020-02-17,18309,0,-Inf,6302,37,9,0,43,0.590476190476191,0.847619047619048,5,5,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-18,18310,-Inf,-Inf,6302,37,9,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-19,18311,-Inf,-Inf,6302,37,9,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-20,18312,-Inf,-Inf,6302,37,9,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-21,18313,-Inf,-Inf,6302,37,9,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
2,0,united_arab_emirates,AE,ARE,9630959,2020-02-22,18314,0.693147180559945,-Inf,6302,37,11,0,43,0.590476190476191,0.847619047619048,1,5,FALSE,,,,,
2,0,united_arab_emirates,AE,ARE,9630959,2020-02-23,18315,0.693147180559945,-Inf,6302,37,13,0,43,0.590476190476191,0.847619047619048,5,5,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-24,18316,-Inf,-Inf,6302,37,13,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-25,18317,-Inf,-Inf,6302,37,13,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-26,18318,-Inf,-Inf,6302,37,13,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-27,18319,-Inf,-Inf,6302,37,13,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
6,0,united_arab_emirates,AE,ARE,9630959,2020-02-28,18320,1.79175946922806,-Inf,6302,37,19,0,43,0.590476190476191,0.847619047619048,2,3,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-02-29,18321,-Inf,-Inf,6302,37,19,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
2,0,united_arab_emirates,AE,ARE,9630959,2020-03-01,18322,0.693147180559945,-Inf,6302,37,21,0,43,0.590476190476191,0.847619047619048,3,3,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-02,18323,-Inf,-Inf,6302,37,21,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
6,0,united_arab_emirates,AE,ARE,9630959,2020-03-04,18325,1.79175946922806,-Inf,6302,37,27,0,43,0.590476190476191,0.847619047619048,2,3,FALSE,,,,,
2,0,united_arab_emirates,AE,ARE,9630959,2020-03-06,18327,0.693147180559945,-Inf,6302,37,29,0,43,0.590476190476191,0.847619047619048,2,3,FALSE,,,,,
16,0,united_arab_emirates,AE,ARE,9630959,2020-03-08,18329,2.77258872223978,-Inf,6302,37,45,0,43,0.590476190476191,0.847619047619048,2,3,FALSE,,,,,
14,0,united_arab_emirates,AE,ARE,9630959,2020-03-10,18331,2.63905732961526,-Inf,6302,37,59,0,43,0.590476190476191,0.847619047619048,1,3,FALSE,,,,,
15,0,united_arab_emirates,AE,ARE,9630959,2020-03-11,18332,2.70805020110221,-Inf,6302,37,74,0,43,0.590476190476191,0.847619047619048,2,3,FALSE,,,,,
11,0,united_arab_emirates,AE,ARE,9630959,2020-03-13,18334,2.39789527279837,-Inf,6302,37,85,0,43,0.590476190476191,0.847619047619048,3,3,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-15,18336,-Inf,-Inf,6302,37,85,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
1,0,united_arab_emirates,AE,ARE,9630959,2020-03-16,18337,0,-Inf,6302,37,86,0,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
12,0,united_arab_emirates,AE,ARE,9630959,2020-03-17,18338,2.484906649788,-Inf,6302,37,98,0,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
15,0,united_arab_emirates,AE,ARE,9630959,2020-03-18,18339,2.70805020110221,-Inf,6302,37,113,0,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-19,18340,-Inf,-Inf,6302,37,113,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
27,0,united_arab_emirates,AE,ARE,9630959,2020-03-20,18341,3.29583686600433,-Inf,6302,37,140,0,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-21,18342,-Inf,-Inf,6302,37,140,0,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
13,2,united_arab_emirates,AE,ARE,9630959,2020-03-22,18343,2.56494935746154,0.693147180559945,6302,37,153,2,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-23,18344,-Inf,-Inf,6302,37,153,2,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
45,0,united_arab_emirates,AE,ARE,9630959,2020-03-24,18345,3.80666248977032,-Inf,6302,37,198,2,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
50,0,united_arab_emirates,AE,ARE,9630959,2020-03-25,18346,3.91202300542815,-Inf,6302,37,248,2,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
85,0,united_arab_emirates,AE,ARE,9630959,2020-03-26,18347,4.44265125649032,-Inf,6302,37,333,2,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-27,18348,-Inf,-Inf,6302,37,333,2,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
72,0,united_arab_emirates,AE,ARE,9630959,2020-03-28,18349,4.27666611901606,-Inf,6302,37,405,2,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
63,0,united_arab_emirates,AE,ARE,9630959,2020-03-29,18350,4.14313472639153,-Inf,6302,37,468,2,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-03-30,18351,-Inf,-Inf,6302,37,468,2,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
143,3,united_arab_emirates,AE,ARE,9630959,2020-03-31,18352,4.96284463025991,1.09861228866811,6302,37,611,5,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
53,1,united_arab_emirates,AE,ARE,9630959,2020-04-01,18353,3.97029191355212,0,6302,37,664,6,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-04-02,18354,-Inf,-Inf,6302,37,664,6,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
360,2,united_arab_emirates,AE,ARE,9630959,2020-04-03,18355,5.88610403145016,0.693147180559945,6302,37,1024,8,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-04-04,18356,-Inf,-Inf,6302,37,1024,8,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
481,2,united_arab_emirates,AE,ARE,9630959,2020-04-05,18357,6.17586727010576,0.693147180559945,6302,37,1505,10,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
294,0,united_arab_emirates,AE,ARE,9630959,2020-04-06,18358,5.68357976733868,-Inf,6302,37,1799,10,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
277,1,united_arab_emirates,AE,ARE,9630959,2020-04-07,18359,5.62401750618734,0,6302,37,2076,11,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
283,1,united_arab_emirates,AE,ARE,9630959,2020-04-08,18360,5.64544689764324,0,6302,37,2359,12,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
300,0,united_arab_emirates,AE,ARE,9630959,2020-04-09,18361,5.7037824746562,-Inf,6302,37,2659,12,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
331,2,united_arab_emirates,AE,ARE,9630959,2020-04-10,18362,5.80211837537706,0.693147180559945,6302,37,2990,14,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
370,2,united_arab_emirates,AE,ARE,9630959,2020-04-11,18363,5.91350300563827,0.693147180559945,6302,37,3360,16,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
376,4,united_arab_emirates,AE,ARE,9630959,2020-04-12,18364,5.9295891433899,1.38629436111989,6302,37,3736,20,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
387,2,united_arab_emirates,AE,ARE,9630959,2020-04-13,18365,5.95842469302978,0.693147180559945,6302,37,4123,22,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
398,3,united_arab_emirates,AE,ARE,9630959,2020-04-14,18366,5.98645200528444,1.09861228866811,6302,37,4521,25,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
412,3,united_arab_emirates,AE,ARE,9630959,2020-04-15,18367,6.02102334934953,1.09861228866811,6302,37,4933,28,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
432,5,united_arab_emirates,AE,ARE,9630959,2020-04-16,18368,6.06842558824411,1.6094379124341,6302,37,5365,33,43,0.590476190476191,0.847619047619048,1,2,FALSE,,,,,
460,0,united_arab_emirates,AE,ARE,9630959,2020-04-17,18369,6.13122648948314,-Inf,6302,37,5825,33,43,0.590476190476191,0.847619047619048,2,2,FALSE,,,,,
0,2,united_arab_emirates,AE,ARE,9630959,2020-04-18,18370,-Inf,0.693147180559945,6302,37,5825,35,43,0.590476190476191,0.847619047619048,,,FALSE,,,,,
477,2,united_arab_emirates,AE,ARE,9630959,2020-04-19,18371,6.16751649088834,0.693147180559945,6302,37,6302,37,43,0.590476190476191,0.847619047619048,1,1,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2019-12-31,18261,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-01,18262,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-02,18263,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-03,18264,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-04,18265,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-05,18266,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-06,18267,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-07,18268,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-08,18269,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-09,18270,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-10,18271,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-11,18272,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-12,18273,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-13,18274,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-14,18275,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-15,18276,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-16,18277,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-17,18278,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-18,18279,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-19,18280,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-20,18281,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
0,0,afghanistan,AF,AFG,37172386,2020-01-21,18282,-Inf,-Inf,908,30,0,0,34,0.663366336633663,0.851485148514852,,,FALSE,,,,,
